time,physical,total_energy
203.75880074192,16976785408,520.32164128358
203.76918533563,16976879616,520.32079441016
203.77956992935,16976998400,520.31994666182
203.78995452307,16977203200,520.31909874601
203.80033911679,16977281024,520.31825138486
203.8107237105,16977346560,520.31740520608
203.82110830422,16977416192,520.31656070609
203.83149289794,16977440768,520.31571824852
203.84187749165,16977571840,520.31487807845
203.85226208537,16977633280,520.31404034199
203.86264667909,16977678336,520.31320510622
203.8730312728,16977801216,520.31237237733
203.88341586652,16977891328,520.31154211599
203.89380046024,16977530880,520.31071425004
203.90418505396,16977625088,520.30988868454
203.91456964767,16978165760,520.30906530968
203.92495424139,16978198528,520.30824400688
203.93533883511,16978231296,520.30742465336
203.94572342882,16978296832,520.3066071256
203.95610802254,16978341888,520.30579130184
203.96649261626,16978382848,520.30497706388
203.97687720998,16978657280,520.30416429827
203.98726180369,16978452480,520.30335289716
203.99764639741,16978485248,520.30254275875
204.00803099113,16978501632,520.30173378756
204.01841558484,16979247104,520.30092589445
204.02880017856,16978575360,520.30011899659
204.03918477228,16979271680,520.29931301723
204.049569366,16978595840,520.29850788555
204.05995395971,16978632704,520.2977035363
204.07033855343,16978632704,520.29689990956
204.08072314715,16978665472,520.29609695039
204.09110774086,16979365888,520.29529460852
204.10149233458,16978710528,520.294492838
204.1118769283,16978710528,520.29369159696
204.12226152201,16980062208,520.29289084721
204.13264611573,16979390464,520.29209055405
204.14303070945,16979427328,520.29129068593
204.15341530317,16980119552,520.29049121423
204.16379989688,16979439616,520.28969211297
204.1741844906,16978890752,520.28889335867
204.18456908432,16979484672,520.28809493004
204.19495367803,16979488768,520.28729680788
204.20533827175,16979640320,520.28649897483
204.21572286547,16979513344,520.28570141525
204.22610745919,16979533824,520.28490411502
204.2364920529,16980434944,520.28410706147
204.24687664662,16979537920,520.28331024318
204.25726124034,16980246528,520.28251364993
204.26764583405,16980267008,520.28171727252
204.27803042777,16979562496,520.28092110274
204.28841502149,16983625728,520.28012513323
204.29879961521,16980135936,520.27932935745
204.30918420892,16980844544,520.27853376954
204.31956880264,16982183936,520.27773836432
204.32995339636,16982753280,520.27694313717
204.34033799007,16982093824,520.27614808402
204.35072258379,16983035904,520.27535320127
204.36110717751,16982114304,520.27455848578
204.37149177122,16982151168,520.27376393476
204.38187636494,16980951040,520.27296954581
204.39226095866,16979587072,520.27217531684
204.40264555238,16980381696,520.27138124605
204.41303014609,16980447232,520.27058733191
204.42341473981,16980455424,520.26979357311
204.43379933353,16979636224,520.26899996856
204.44418392724,16979132416,520.26820651737
204.45456852096,16979824640,520.26741321882
204.46495311468,16979226624,520.26662007235
204.4753377084,16980254720,520.26582707752
204.48572230211,16979152896,520.26503423405
204.49610689583,16979152896,520.26424154175
204.50649148955,16980267008,520.26344900054
204.51687608326,16982474752,520.26265661043
204.52726067698,16980275200,520.26186437153
204.5376452707,16981098496,520.26107228399
204.54802986442,16982511616,520.26028034806
204.55841445813,16982499328,520.25948856404
204.56879905185,16983207936,520.25869693227
204.57918364557,16982478848,520.25790545315
204.58956823928,16983183360,520.25711412714
204.599952833,16983220224,520.2563229547
204.61033742672,16983224320,520.25553193636
204.62072202043,16983195648,520.25474107265
204.63110661415,16982560768,520.25395036415
204.64149120787,16982544384,520.25315981146
204.65187580159,16982609920,520.25236941519
204.6622603953,16984764416,520.25157917598
204.67264498902,16984080384,520.25078909447
204.68302958274,16983973888,520.24999917134
204.69341417645,16984076288,520.24920940726
204.70379877017,16984375296,520.24841980292
204.71418336389,16984195072,520.24763035902
204.72456795761,16984203264,520.24684107625
204.73495255132,16984940544,520.24605195534
204.74533714504,16984944640,520.24526299699
204.75572173876,16984469504,520.24447420193
204.76610633247,16987271168,520.24368557087
204.77649092619,16986480640,520.24289710456
204.78687551991,16984629248,520.2421088037
204.79726011362,16984641536,520.24132066902
204.80764470734,16987344896,520.24053270127
204.81802930106,16984502272,520.23974490115
204.82841389478,16984408064,520.23895726941
204.83879848849,16984682496,520.23816980675
204.84918308221,16984518656,520.23738251392
204.85956767593,16984862720,520.23659539161
204.86995226964,16982740992,520.23580844056
204.88033686336,16986476544,520.23503751819
204.89072145708,16986783744,520.23435473418
204.9011060508,16987029504,520.23368876744
204.91149064451,16987041792,520.23301784927
204.92187523823,16987254784,520.23233345289
204.93225983195,16988135424,520.23164289085
204.94264442566,16988389376,520.23099169421
204.95302901938,16988524544,520.23034341496
204.9634136131,16988590080,520.22968595457
204.97379820682,16988672000,520.22901403547
204.98418280053,16988729344,520.22832598698
204.99456739425,16991617024,520.22762215285
205.00495198797,16991645696,520.2269039165
205.01533658168,16989065216,520.22617310409
205.0257211754,16989106176,520.22543163517
205.03610576912,16989782016,520.2246813324
205.04649036283,16989196288,520.22392382998
205.05687495655,16992145408,520.22316054073
205.06725955027,16992116736,520.22239265609
205.07764414399,16992108544,520.22162116299
205.0880287377,16990040064,520.22084686818
205.09841333142,16989429760,520.22007042438
205.10879792514,16989454336,520.21929235536
205.11918251885,16989478912,520.21851307859
205.12956711257,16989519872,520.21773292486
205.13995170629,16990306304,520.21695215489
205.15033630001,16993005568,520.21617097317
205.16072089372,16993034240,520.21538953927
205.17110548744,16990400512,520.21460797704
205.18149008116,16990433280,520.2138263821
205.19187467487,16990453760,520.21304482776
205.20225926859,16993140736,520.21226336984
205.21264386231,16993419264,520.21148205043
